"time_value","geo_value_fullname","fips","value"
2021-07-10,"US","US",1645
2021-07-17,"Alabama","01",43
2021-07-17,"Alaska","02",0
2021-07-17,"Arizona","04",57
2021-07-17,"Arkansas","05",76
2021-07-17,"California","06",151
2021-07-17,"Colorado","08",39
2021-07-17,"Connecticut","09",5
2021-07-17,"Delaware","10",2
2021-07-17,"District of Columbia","11",1
2021-07-17,"Florida","12",292
2021-07-17,"Georgia","13",55
2021-07-17,"Hawaii","15",3
2021-07-17,"Idaho","16",10
2021-07-17,"Illinois","17",44
2021-07-17,"Indiana","18",30
2021-07-17,"Iowa","19",13
2021-07-17,"Kansas","20",19
2021-07-17,"Kentucky","21",35
2021-07-17,"Louisiana","22",58
2021-07-17,"Maine","23",7
2021-07-17,"Maryland","24",17
2021-07-17,"Massachusetts","25",13
2021-07-17,"Michigan","26",22
2021-07-17,"Minnesota","27",14
2021-07-17,"Mississippi","28",44
2021-07-17,"Missouri","29",171
2021-07-17,"Montana","30",7
2021-07-17,"Nebraska","31",7
2021-07-17,"Nevada","32",73
2021-07-17,"New Hampshire","33",2
2021-07-17,"New Jersey","34",30
2021-07-17,"New Mexico","35",9
2021-07-17,"North Carolina","37",56
2021-07-17,"North Dakota","38",1
2021-07-17,"Ohio","39",50
2021-07-17,"Oklahoma","40",41
2021-07-17,"Oregon","41",18
2021-07-17,"Pennsylvania","42",44
2021-07-17,"Rhode Island","44",0
2021-07-17,"South Carolina","45",20
2021-07-17,"South Dakota","46",0
2021-07-17,"Tennessee","47",35
2021-07-17,"Texas","48",229
2021-07-17,"Utah","49",20
2021-07-17,"Vermont","50",0
2021-07-17,"Virginia","51",26
2021-07-17,"Washington","53",24
2021-07-17,"West Virginia","54",4
2021-07-17,"Wisconsin","55",13
2021-07-17,"Wyoming","56",7
2021-07-17,"New York","36",54
2021-07-17,"US","US",1991
2021-07-24,"Alabama","01",68
2021-07-24,"Alaska","02",5
2021-07-24,"Arizona","04",74
2021-07-24,"Arkansas","05",117
2021-07-24,"California","06",210
2021-07-24,"Colorado","08",43
2021-07-24,"Connecticut","09",6
2021-07-24,"Delaware","10",5
2021-07-24,"District of Columbia","11",3
2021-07-24,"Florida","12",482
2021-07-24,"Georgia","13",75
2021-07-24,"Hawaii","15",8
2021-07-24,"Idaho","16",19
2021-07-24,"Illinois","17",49
2021-07-24,"Indiana","18",29
2021-07-24,"Iowa","19",13
2021-07-24,"Kansas","20",32
2021-07-24,"Kentucky","21",45
2021-07-24,"Louisiana","22",95
2021-07-24,"Maine","23",4
2021-07-24,"Maryland","24",22
2021-07-24,"Massachusetts","25",24
2021-07-24,"Michigan","26",33
2021-07-24,"Minnesota","27",11
2021-07-24,"Mississippi","28",64
2021-07-24,"Missouri","29",190
2021-07-24,"Montana","30",10
2021-07-24,"Nebraska","31",15
2021-07-24,"Nevada","32",90
2021-07-24,"New Hampshire","33",3
2021-07-24,"New Jersey","34",28
2021-07-24,"New Mexico","35",10
2021-07-24,"North Carolina","37",80
2021-07-24,"North Dakota","38",1
2021-07-24,"Ohio","39",55
2021-07-24,"Oklahoma","40",70
2021-07-24,"Oregon","41",18
2021-07-24,"Pennsylvania","42",32
2021-07-24,"Rhode Island","44",2
2021-07-24,"South Carolina","45",36
2021-07-24,"South Dakota","46",6
2021-07-24,"Tennessee","47",69
2021-07-24,"Texas","48",341
2021-07-24,"Utah","49",24
2021-07-24,"Vermont","50",0
2021-07-24,"Virginia","51",19
2021-07-24,"Washington","53",39
2021-07-24,"West Virginia","54",9
2021-07-24,"Wisconsin","55",10
2021-07-24,"Wyoming","56",17
2021-07-24,"New York","36",50
2021-07-24,"US","US",2760
2021-07-31,"Alabama","01",116
2021-07-31,"Alaska","02",14
2021-07-31,"Arizona","04",111
2021-07-31,"Arkansas","05",141
2021-07-31,"California","06",294
2021-07-31,"Colorado","08",41
2021-07-31,"Connecticut","09",5
2021-07-31,"Delaware","10",3
2021-07-31,"District of Columbia","11",1
2021-07-31,"Florida","12",884
2021-07-31,"Georgia","13",125
2021-07-31,"Hawaii","15",9
2021-07-31,"Idaho","16",19
2021-07-31,"Illinois","17",79
2021-07-31,"Indiana","18",53
2021-07-31,"Iowa","19",13
2021-07-31,"Kansas","20",45
2021-07-31,"Kentucky","21",72
2021-07-31,"Louisiana","22",160
2021-07-31,"Maine","23",1
2021-07-31,"Maryland","24",23
2021-07-31,"Massachusetts","25",15
2021-07-31,"Michigan","26",35
2021-07-31,"Minnesota","27",19
2021-07-31,"Mississippi","28",92
2021-07-31,"Missouri","29",234
2021-07-31,"Montana","30",18
2021-07-31,"Nebraska","31",16
2021-07-31,"Nevada","32",137
2021-07-31,"New Hampshire","33",4
2021-07-31,"New Jersey","34",36
2021-07-31,"New Mexico","35",12
2021-07-31,"North Carolina","37",122
2021-07-31,"North Dakota","38",3
2021-07-31,"Ohio","39",60
2021-07-31,"Oklahoma","40",100
2021-07-31,"Oregon","41",36
2021-07-31,"Pennsylvania","42",48
2021-07-31,"Rhode Island","44",1
2021-07-31,"South Carolina","45",57
2021-07-31,"South Dakota","46",6
2021-07-31,"Tennessee","47",91
2021-07-31,"Texas","48",506
2021-07-31,"Utah","49",35
2021-07-31,"Vermont","50",0
2021-07-31,"Virginia","51",44
2021-07-31,"Washington","53",48
2021-07-31,"West Virginia","54",19
2021-07-31,"Wisconsin","55",23
2021-07-31,"Wyoming","56",12
2021-07-31,"New York","36",67
2021-07-31,"US","US",4105
2021-08-07,"Alabama","01",226
2021-08-07,"Alaska","02",25
2021-08-07,"Arizona","04",129
2021-08-07,"Arkansas","05",197
2021-08-07,"California","06",441
2021-08-07,"Colorado","08",36
2021-08-07,"Connecticut","09",11
2021-08-07,"Delaware","10",7
2021-08-07,"District of Columbia","11",1
2021-08-07,"Florida","12",1494
2021-08-07,"Georgia","13",262
2021-08-07,"Hawaii","15",18
2021-08-07,"Idaho","16",32
2021-08-07,"Illinois","17",110
2021-08-07,"Indiana","18",76
2021-08-07,"Iowa","19",25
2021-08-07,"Kansas","20",97
2021-08-07,"Kentucky","21",90
2021-08-07,"Louisiana","22",319
2021-08-07,"Maine","23",4
2021-08-07,"Maryland","24",28
2021-08-07,"Massachusetts","25",19
2021-08-07,"Michigan","26",46
2021-08-07,"Minnesota","27",21
2021-08-07,"Mississippi","28",182
2021-08-07,"Missouri","29",303
2021-08-07,"Montana","30",11
2021-08-07,"Nebraska","31",30
2021-08-07,"Nevada","32",149
2021-08-07,"New Hampshire","33",0
2021-08-07,"New Jersey","34",41
2021-08-07,"New Mexico","35",29
2021-08-07,"North Carolina","37",164
2021-08-07,"North Dakota","38",4
2021-08-07,"Ohio","39",81
2021-08-07,"Oklahoma","40",168
2021-08-07,"Oregon","41",62
2021-08-07,"Pennsylvania","42",73
2021-08-07,"Rhode Island","44",6
2021-08-07,"South Carolina","45",120
2021-08-07,"South Dakota","46",2
2021-08-07,"Tennessee","47",146
2021-08-07,"Texas","48",833
2021-08-07,"Utah","49",43
2021-08-07,"Vermont","50",3
2021-08-07,"Virginia","51",63
2021-08-07,"Washington","53",79
2021-08-07,"West Virginia","54",27
2021-08-07,"Wisconsin","55",32
2021-08-07,"Wyoming","56",17
2021-08-07,"New York","36",102
2021-08-07,"US","US",6484
2021-08-14,"Alabama","01",351
2021-08-14,"Alaska","02",21
2021-08-14,"Arizona","04",165
2021-08-14,"Arkansas","05",235
2021-08-14,"California","06",681
2021-08-14,"Colorado","08",61
2021-08-14,"Connecticut","09",30
2021-08-14,"Delaware","10",7
2021-08-14,"District of Columbia","11",8
2021-08-14,"Florida","12",2138
2021-08-14,"Georgia","13",488
2021-08-14,"Hawaii","15",29
2021-08-14,"Idaho","16",44
2021-08-14,"Illinois","17",132
2021-08-14,"Indiana","18",98
2021-08-14,"Iowa","19",34
2021-08-14,"Kansas","20",84
2021-08-14,"Kentucky","21",155
2021-08-14,"Louisiana","22",397
2021-08-14,"Maine","23",7
2021-08-14,"Maryland","24",35
2021-08-14,"Massachusetts","25",40
2021-08-14,"Michigan","26",90
2021-08-14,"Minnesota","27",30
2021-08-14,"Mississippi","28",241
2021-08-14,"Missouri","29",314
2021-08-14,"Montana","30",23
2021-08-14,"Nebraska","31",22
2021-08-14,"Nevada","32",151
2021-08-14,"New Hampshire","33",7
2021-08-14,"New Jersey","34",71
2021-08-14,"New Mexico","35",47
2021-08-14,"North Carolina","37",264
2021-08-14,"North Dakota","38",3
2021-08-14,"Ohio","39",135
2021-08-14,"Oklahoma","40",225
2021-08-14,"Oregon","41",95
2021-08-14,"Pennsylvania","42",89
2021-08-14,"Rhode Island","44",5
2021-08-14,"South Carolina","45",198
2021-08-14,"South Dakota","46",1
2021-08-14,"Tennessee","47",284
2021-08-14,"Texas","48",1381
2021-08-14,"Utah","49",43
2021-08-14,"Vermont","50",2
2021-08-14,"Virginia","51",87
2021-08-14,"Washington","53",114
2021-08-14,"West Virginia","54",31
2021-08-14,"Wisconsin","55",46
2021-08-14,"Wyoming","56",23
2021-08-14,"New York","36",144
2021-08-14,"US","US",9406
2021-08-21,"Alabama","01",436
2021-08-21,"Alaska","02",24
2021-08-21,"Arizona","04",183
2021-08-21,"Arkansas","05",226
2021-08-21,"California","06",857
2021-08-21,"Colorado","08",79
2021-08-21,"Connecticut","09",23
2021-08-21,"Delaware","10",19
2021-08-21,"District of Columbia","11",7
2021-08-21,"Florida","12",2613
2021-08-21,"Georgia","13",694
2021-08-21,"Hawaii","15",36
2021-08-21,"Idaho","16",44
2021-08-21,"Illinois","17",213
2021-08-21,"Indiana","18",155
2021-08-21,"Iowa","19",47
2021-08-21,"Kansas","20",86
2021-08-21,"Kentucky","21",224
2021-08-21,"Louisiana","22",426
2021-08-21,"Maine","23",10
2021-08-21,"Maryland","24",67
2021-08-21,"Massachusetts","25",36
2021-08-21,"Michigan","26",117
2021-08-21,"Minnesota","27",36
2021-08-21,"Mississippi","28",325
2021-08-21,"Missouri","29",311
2021-08-21,"Montana","30",43
2021-08-21,"Nebraska","31",41
2021-08-21,"Nevada","32",173
2021-08-21,"New Hampshire","33",10
2021-08-21,"New Jersey","34",99
2021-08-21,"New Mexico","35",57
2021-08-21,"North Carolina","37",421
2021-08-21,"North Dakota","38",6
2021-08-21,"Ohio","39",218
2021-08-21,"Oklahoma","40",298
2021-08-21,"Oregon","41",154
2021-08-21,"Pennsylvania","42",128
2021-08-21,"Rhode Island","44",9
2021-08-21,"South Carolina","45",295
2021-08-21,"South Dakota","46",13
2021-08-21,"Tennessee","47",367
2021-08-21,"Texas","48",1866
2021-08-21,"Utah","49",54
2021-08-21,"Vermont","50",4
2021-08-21,"Virginia","51",140
2021-08-21,"Washington","53",169
2021-08-21,"West Virginia","54",36
2021-08-21,"Wisconsin","55",72
2021-08-21,"Wyoming","56",25
2021-08-21,"New York","36",189
2021-08-21,"US","US",12181
2021-08-28,"Alabama","01",503
2021-08-28,"Alaska","02",20
2021-08-28,"Arizona","04",215
2021-08-28,"Arkansas","05",221
2021-08-28,"California","06",1018
2021-08-28,"Colorado","08",90
2021-08-28,"Connecticut","09",34
2021-08-28,"Delaware","10",23
2021-08-28,"District of Columbia","11",7
2021-08-28,"Florida","12",2829
2021-08-28,"Georgia","13",858
