"time_value","fips","geo_value_fullname","age_group","value"
2020-12-12,"47","Tennessee","0-130",21
2020-12-12,"48","Texas","0-130",217
2020-12-12,"US","US","0-130",643
2020-12-12,"49","Utah","0-130",4
2020-12-12,"50","Vermont","0-130",0
2020-12-12,"78","Virgin Islands","0-130",0
2020-12-12,"51","Virginia","0-130",30
2020-12-12,"53","Washington","0-130",3
2020-12-12,"54","West Virginia","0-130",2
2020-12-12,"55","Wisconsin","0-130",1
2020-12-12,"56","Wyoming","0-130",0
2020-12-19,"01","Alabama","0-130",35
2020-12-19,"02","Alaska","0-130",7
2020-12-19,"04","Arizona","0-130",11
2020-12-19,"05","Arkansas","0-130",11
2020-12-19,"06","California","0-130",53
2020-12-19,"08","Colorado","0-130",5
2020-12-19,"09","Connecticut","0-130",3
2020-12-19,"11","District of Columbia","0-130",0
2020-12-19,"12","Florida","0-130",34
2020-12-19,"13","Georgia","0-130",20
2020-12-19,"66","Guam","0-130",0
2020-12-19,"15","Hawaii","0-130",0
2020-12-19,"16","Idaho","0-130",2
2020-12-19,"17","Illinois","0-130",3
2020-12-19,"18","Indiana","0-130",11
2020-12-19,"19","Iowa","0-130",4
2020-12-19,"20","Kansas","0-130",10
2020-12-19,"21","Kentucky","0-130",33
2020-12-19,"22","Louisiana","0-130",17
2020-12-19,"23","Maine","0-130",0
2020-12-19,"24","Maryland","0-130",2
2020-12-19,"25","Massachusetts","0-130",3
2020-12-19,"26","Michigan","0-130",11
2020-12-19,"27","Minnesota","0-130",0
2020-12-19,"28","Mississippi","0-130",11
2020-12-19,"29","Missouri","0-130",17
2020-12-19,"30","Montana","0-130",1
2020-12-19,"31","Nebraska","0-130",4
2020-12-19,"32","Nevada","0-130",7
2020-12-19,"33","New Hampshire","0-130",0
2020-12-19,"34","New Jersey","0-130",14
2020-12-19,"35","New Mexico","0-130",4
2020-12-19,"36","New York","0-130",36
2020-12-19,"37","North Carolina","0-130",8
2020-12-19,"38","North Dakota","0-130",0
2020-12-19,"69","Northern Mariana Islands","0-130",0
2020-12-19,"39","Ohio","0-130",5
2020-12-19,"40","Oklahoma","0-130",23
2020-12-19,"41","Oregon","0-130",0
2020-12-19,"42","Pennsylvania","0-130",6
2020-12-19,"72","Puerto Rico","0-130",28
2020-12-19,"44","Rhode Island","0-130",0
2020-12-19,"45","South Carolina","0-130",7
2020-12-19,"46","South Dakota","0-130",2
2020-12-19,"47","Tennessee","0-130",23
2020-12-19,"48","Texas","0-130",263
2020-12-19,"US","US","0-130",766
2020-12-19,"49","Utah","0-130",0
2020-12-19,"50","Vermont","0-130",0
2020-12-19,"78","Virgin Islands","0-130",0
2020-12-19,"51","Virginia","0-130",24
2020-12-19,"53","Washington","0-130",1
2020-12-19,"54","West Virginia","0-130",5
2020-12-19,"55","Wisconsin","0-130",2
2020-12-19,"56","Wyoming","0-130",0
2020-12-26,"01","Alabama","0-130",19
2020-12-26,"02","Alaska","0-130",1
2020-12-26,"04","Arizona","0-130",8
2020-12-26,"05","Arkansas","0-130",9
2020-12-26,"06","California","0-130",70
2020-12-26,"08","Colorado","0-130",5
2020-12-26,"09","Connecticut","0-130",0
2020-12-26,"11","District of Columbia","0-130",0
2020-12-26,"12","Florida","0-130",50
2020-12-26,"13","Georgia","0-130",21
2020-12-26,"66","Guam","0-130",0
2020-12-26,"15","Hawaii","0-130",0
2020-12-26,"16","Idaho","0-130",2
2020-12-26,"17","Illinois","0-130",3
2020-12-26,"18","Indiana","0-130",6
2020-12-26,"19","Iowa","0-130",2
2020-12-26,"20","Kansas","0-130",1
2020-12-26,"21","Kentucky","0-130",20
2020-12-26,"22","Louisiana","0-130",17
2020-12-26,"23","Maine","0-130",0
2020-12-26,"24","Maryland","0-130",2
2020-12-26,"25","Massachusetts","0-130",4
2020-12-26,"26","Michigan","0-130",10
2020-12-26,"27","Minnesota","0-130",1
2020-12-26,"28","Mississippi","0-130",19
2020-12-26,"29","Missouri","0-130",10
2020-12-26,"30","Montana","0-130",1
2020-12-26,"31","Nebraska","0-130",2
2020-12-26,"32","Nevada","0-130",3
2020-12-26,"33","New Hampshire","0-130",0
2020-12-26,"34","New Jersey","0-130",9
2020-12-26,"35","New Mexico","0-130",2
2020-12-26,"36","New York","0-130",37
2020-12-26,"37","North Carolina","0-130",10
2020-12-26,"38","North Dakota","0-130",2
2020-12-26,"69","Northern Mariana Islands","0-130",0
2020-12-26,"39","Ohio","0-130",14
2020-12-26,"40","Oklahoma","0-130",10
2020-12-26,"41","Oregon","0-130",0
2020-12-26,"42","Pennsylvania","0-130",9
