location,date,age_group,target,value,population,value_numeric
49,2023-05-06,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-05-06,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-04-29,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-04-29,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-04-22,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-04-22,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-04-15,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-04-15,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-04-08,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-04-08,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-04-01,18-130,rate hosp,0.2,2444630.0,0.2
49,2023-04-01,18-130,inc hosp,4.88926,2444630.0,4.88926
49,2023-03-25,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-03-25,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-03-18,18-130,rate hosp,0.3,2444630.0,0.3
49,2023-03-18,18-130,inc hosp,7.33389,2444630.0,7.33389
49,2023-03-11,18-130,rate hosp,0.1,2444630.0,0.1
49,2023-03-11,18-130,inc hosp,2.44463,2444630.0,2.44463
49,2023-03-04,18-130,rate hosp,0.0,2444630.0,0.0
49,2023-03-04,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-02-25,18-130,rate hosp,0.1,2444630.0,0.1
49,2023-02-25,18-130,inc hosp,2.44463,2444630.0,2.44463
49,2023-02-18,18-130,rate hosp,0.4,2444630.0,0.4
49,2023-02-18,18-130,inc hosp,9.77852,2444630.0,9.77852
49,2023-02-11,18-130,rate hosp,0.3,2444630.0,0.3
49,2023-02-11,18-130,inc hosp,7.33389,2444630.0,7.33389
49,2023-02-04,18-130,rate hosp,0.1,2444630.0,0.1
49,2023-02-04,18-130,inc hosp,2.44463,2444630.0,2.44463
49,2023-01-28,18-130,rate hosp,0.9,2444630.0,0.9
49,2023-01-28,18-130,inc hosp,22.00167,2444630.0,22.00167
49,2023-01-21,18-130,rate hosp,0.3,2444630.0,0.3
49,2023-01-21,18-130,inc hosp,7.33389,2444630.0,7.33389
49,2023-01-14,18-130,rate hosp,0.4,2444630.0,0.4
49,2023-01-14,18-130,inc hosp,9.77852,2444630.0,9.77852
49,2023-01-07,18-130,rate hosp,1.0,2444630.0,1.0
49,2023-01-07,18-130,inc hosp,24.4463,2444630.0,24.4463
49,2022-12-31,18-130,rate hosp,1.2,2444630.0,1.2
49,2022-12-31,18-130,inc hosp,29.33556,2444630.0,29.33556
49,2022-12-24,18-130,rate hosp,1.9,2444630.0,1.9
49,2022-12-24,18-130,inc hosp,46.44797,2444630.0,46.44797
49,2022-12-17,18-130,rate hosp,2.0,2444630.0,2.0
49,2022-12-17,18-130,inc hosp,48.8926,2444630.0,48.8926
49,2022-12-10,18-130,rate hosp,1.8,2444630.0,1.8
49,2022-12-10,18-130,inc hosp,44.00334,2444630.0,44.00334
49,2022-12-03,18-130,rate hosp,2.2,2444630.0,2.2
49,2022-12-03,18-130,inc hosp,53.78186,2444630.0,53.78186
49,2022-11-26,18-130,rate hosp,1.1,2444630.0,1.1
49,2022-11-26,18-130,inc hosp,26.89093,2444630.0,26.89093
49,2022-11-19,18-130,rate hosp,0.6,2444630.0,0.6
49,2022-11-19,18-130,inc hosp,14.66778,2444630.0,14.66778
49,2022-11-12,18-130,rate hosp,0.1,2444630.0,0.1
49,2022-11-12,18-130,inc hosp,2.44463,2444630.0,2.44463
49,2022-11-05,18-130,rate hosp,0.4,2444630.0,0.4
49,2022-11-05,18-130,inc hosp,9.77852,2444630.0,9.77852
49,2022-10-29,18-130,rate hosp,0.6,2444630.0,0.6
49,2022-10-29,18-130,inc hosp,14.66778,2444630.0,14.66778
49,2022-10-22,18-130,rate hosp,0.2,2444630.0,0.2
49,2022-10-22,18-130,inc hosp,4.88926,2444630.0,4.88926
49,2022-10-15,18-130,rate hosp,0.0,2444630.0,0.0
49,2022-10-15,18-130,inc hosp,0.0,2444630.0,0.0
49,2022-10-08,18-130,rate hosp,0.0,2444630.0,0.0
49,2022-10-08,18-130,inc hosp,0.0,2444630.0,0.0
49,2023-09-30,75-130,rate hosp,0.0,159324.0,0.0
49,2023-09-30,75-130,inc hosp,0.0,159324.0,0.0
49,2023-09-23,75-130,rate hosp,0.0,159324.0,0.0
49,2023-09-23,75-130,inc hosp,0.0,159324.0,0.0
49,2023-09-16,75-130,rate hosp,0.0,159324.0,0.0
49,2023-09-16,75-130,inc hosp,0.0,159324.0,0.0
49,2023-09-09,75-130,rate hosp,0.0,159324.0,0.0
49,2023-09-09,75-130,inc hosp,0.0,159324.0,0.0
49,2023-09-02,75-130,rate hosp,0.0,159324.0,0.0
49,2023-09-02,75-130,inc hosp,0.0,159324.0,0.0
49,2023-08-26,75-130,rate hosp,0.0,159324.0,0.0
49,2023-08-26,75-130,inc hosp,0.0,159324.0,0.0
49,2023-08-19,75-130,rate hosp,0.0,159324.0,0.0
49,2023-08-19,75-130,inc hosp,0.0,159324.0,0.0
49,2023-08-12,75-130,rate hosp,0.0,159324.0,0.0
49,2023-08-12,75-130,inc hosp,0.0,159324.0,0.0
49,2023-08-05,75-130,rate hosp,0.0,159324.0,0.0
49,2023-08-05,75-130,inc hosp,0.0,159324.0,0.0
49,2023-07-29,75-130,rate hosp,0.0,159324.0,0.0
49,2023-07-29,75-130,inc hosp,0.0,159324.0,0.0
49,2023-07-22,75-130,rate hosp,0.0,159324.0,0.0
49,2023-07-22,75-130,inc hosp,0.0,159324.0,0.0
49,2023-07-15,75-130,rate hosp,0.0,159324.0,0.0
49,2023-07-15,75-130,inc hosp,0.0,159324.0,0.0
49,2023-07-08,75-130,rate hosp,0.0,159324.0,0.0
49,2023-07-08,75-130,inc hosp,0.0,159324.0,0.0
49,2023-07-01,75-130,rate hosp,0.0,159324.0,0.0
49,2023-07-01,75-130,inc hosp,0.0,159324.0,0.0
49,2023-06-24,75-130,rate hosp,0.0,159324.0,0.0
49,2023-06-24,75-130,inc hosp,0.0,159324.0,0.0
49,2023-06-17,75-130,rate hosp,0.0,159324.0,0.0
49,2023-06-17,75-130,inc hosp,0.0,159324.0,0.0
49,2023-06-10,75-130,rate hosp,0.0,159324.0,0.0
49,2023-06-10,75-130,inc hosp,0.0,159324.0,0.0
49,2023-06-03,75-130,rate hosp,1.8,159324.0,1.8
49,2023-06-03,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-05-27,75-130,rate hosp,0.0,159324.0,0.0
49,2023-05-27,75-130,inc hosp,0.0,159324.0,0.0
49,2023-05-20,75-130,rate hosp,0.0,159324.0,0.0
49,2023-05-20,75-130,inc hosp,0.0,159324.0,0.0
49,2023-05-13,75-130,rate hosp,0.0,159324.0,0.0
49,2023-05-13,75-130,inc hosp,0.0,159324.0,0.0
49,2023-05-06,75-130,rate hosp,0.0,159324.0,0.0
49,2023-05-06,75-130,inc hosp,0.0,159324.0,0.0
49,2023-04-29,75-130,rate hosp,0.0,159324.0,0.0
49,2023-04-29,75-130,inc hosp,0.0,159324.0,0.0
49,2023-04-22,75-130,rate hosp,0.0,159324.0,0.0
49,2023-04-22,75-130,inc hosp,0.0,159324.0,0.0
49,2023-04-15,75-130,rate hosp,0.0,159324.0,0.0
49,2023-04-15,75-130,inc hosp,0.0,159324.0,0.0
49,2023-04-08,75-130,rate hosp,0.0,159324.0,0.0
49,2023-04-08,75-130,inc hosp,0.0,159324.0,0.0
49,2023-04-01,75-130,rate hosp,1.8,159324.0,1.8
49,2023-04-01,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-03-25,75-130,rate hosp,0.0,159324.0,0.0
49,2023-03-25,75-130,inc hosp,0.0,159324.0,0.0
49,2023-03-18,75-130,rate hosp,1.8,159324.0,1.8
49,2023-03-18,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-03-11,75-130,rate hosp,1.8,159324.0,1.8
49,2023-03-11,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-03-04,75-130,rate hosp,0.0,159324.0,0.0
49,2023-03-04,75-130,inc hosp,0.0,159324.0,0.0
49,2023-02-25,75-130,rate hosp,1.8,159324.0,1.8
